shape		t		lossrate		minCoverage		PM		runtime

1111111111		37		0.135828		46		52546		3.28348
1111111111		36		0		45		53816		3.29981
1111111111		37		0.135828		46		52546		3.42287
1111111111		36		0		45		53816		3.47959
11111110111		36		0.199785		46		52025		4.07868
11111110111		35		0.0727081		45		53449		4.11913
11111110111		34		0.00802712		44		54063		4.11188
11111110111		33		0		43		54379		4.05662
11111111011		36		0.199785		46		52073		4.08096
11111111011		35		0.0727081		45		53486		4.11943
11111111011		34		0.00802712		44		54095		3.86484
11111111011		33		0		43		54418		3.68455
111111100111		35		0.19244		46		51917		3.86314
111111100111		34		0.124629		45		52923		3.88136
111111100111		33		0.0711453		44		53661		3.87131
111111100111		32		0.0220551		43		54202		3.88719
111111100111		31		0.00668888		42		54582		3.42443
111111100111		30		0		41		54847		3.47684
111111110011		35		0.196557		46		51968		4.07557
111111110011		34		0.124629		45		53013		4.31037
111111110011		33		0.0711453		44		53723		4.53445
111111110011		32		0.0220551		43		54275		4.49293
111111110011		31		0.00668888		42		54643		4.46871
111111110011		30		0		41		54896		4.44798
11111111111		35		0.199975		45		52035		2.87586
11111111111		34		0.110592		44		52991		2.82489
11111111111		33		0		43		54091		2.84545
11111111111		35		0.199975		45		52035		2.98004
11111111111		34		0.110592		44		52991		3.0185
11111111111		33		0		43		54091		2.91619
111111110111		34		0.197913		45		51872		3.05308
111111110111		33		0.163151		44		52610		3.11765
111111110111		32		0.059741		43		53759		3.17134
111111110111		31		0.00668888		42		54291		3.1275
111111110111		30		0		41		54572		3.15357
111111111011		34		0.199953		45		51894		3.04764
111111111011		33		0.163151		44		52655		3.08043
111111111011		32		0.059741		43		53787		3.13531
111111111011		31		0.00668888		42		54325		3.09147
111111111011		30		0		41		54609		3.09424
1111111100111		33		0.193566		45		51880		3.46966
1111111100111		32		0.157552		44		52489		3.47873
1111111100111		31		0.102225		43		53332		3.60289
1111111100111		30		0.0581278		42		53955		3.60963
1111111100111		29		0.018237		41		54463		3.66871
1111111100111		28		0.00547334		40		54778		3.62297
1111111100111		27		0		39		54992		3.50767
1111111110011		33		0.19764		45		51906		2.92822
1111111110011		32		0.161281		44		52529		2.89851
1111111110011		31		0.102225		43		53400		2.94431
1111111110011		30		0.0581278		42		54028		2.96035
1111111110011		29		0.018237		41		54515		2.97301
1111111110011		28		0.00547334		40		54812		2.98413
1111111110011		27		0		39		55028		3.1152
111111111111		32		0.163148		43		52601		2.83618
111111111111		31		0.0885015		42		53458		2.91873
111111111111		30		0		41		54318		3.01727
111111111111		32		0.163148		43		52601		2.93973
111111111111		31		0.0885015		42		53458		3.00284
111111111111		30		0		41		54318		2.95406
1111111110111		32		0.196721		44		51855		2.84094
1111111110111		31		0.161456		43		52479		2.84588
1111111110111		30		0.13142		42		53121		4.47957
1111111110111		29		0.0483505		41		54050		5.52299
1111111110111		28		0.00547334		40		54508		5.50373
1111111110111		27		0		39		54788		2.90137
1111111111011		31		0.163302		43		52498		3.76436
1111111111011		30		0.13142		42		53153		3.91125
1111111111011		29		0.0483505		41		54084		3.13606
1111111111011		28		0.00547334		40		54529		3.15355
1111111111011		27		0		39		54803		3.09201
11111111100111		31		0.193319		44		51903		2.85972
11111111100111		30		0.158547		43		52472		2.86333
11111111100111		29		0.12742		42		53016		2.87622
11111111100111		28		0.0827302		41		53692		2.89576
11111111100111		27		0.0467985		40		54268		2.93597
11111111100111		26		0.0147827		39		54689		2.90411
11111111100111		25		0.00438048		38		54955		2.89592
11111111100111		24		0		37		55157		2.86214
11111111110011		30		0.162239		43		52495		2.97351
11111111110011		29		0.130791		42		53039		2.98677
